keys,en,ru
SIGN_FLOOR_SLOPE,LEVEL FLOOR WALKS UPHILL,РОВНЫЙ ПОЛ ИДЁТ В ГОРУ
SIGN_GEIGER_TICKS,COUNTER TICKS WITH NO SOURCE,СЧЁТЧИК ЩЁЛКАЕТ БЕЗ ИСТОЧНИКА
SIGN_LIGHT_FLICKER,LAMPS FLICKER OUT OF STEP,ЛАМПЫ МИГАЮТ ВРАЗНОБОЙ
SIGN_OBJECTS_DRIFT,OBJECTS CREEP TO ONE WALL,ПРЕДМЕТЫ СПОЛЗЛИ К СТЕНЕ
SIGN_REFLECTION_LAG,REFLECTIONS LAG BEHIND,ОТРАЖЕНИЯ ЗАПАЗДЫВАЮТ
SIGN_SHADOW_WRONG,SHADOWS FALL AWAY FROM LAMPS,ТЕНИ ПАДАЮТ ПРОЧЬ ОТ ЛАМП
SIGN_SOUND_DELAY,SOUND ARRIVES A SECOND LATE,ЗВУК ОТСТАЁТ НА СЕКУНДУ
SIGN_SURFACES_TRANSPARENT,SURFACES GO TRANSPARENT,ПОВЕРХНОСТИ ПРОЗРАЧНЕЮТ
STORY_ENDING,The last rift closes. The exhibits are silent — for now.,Последний разлом закрывается. Экспонаты молчат — пока что.
STORY_END_01,"Three nights. The core holds, and wing by wing the constants settle back into their cases.","Три ночи. Ядро держит, и крыло за крылом постоянные величины возвращаются в свои витрины."
STORY_END_02,The monitors go quiet one after another. Nothing walks the halls that the cameras can name.,"Мониторы гаснут один за другим. По залам не ходит ничего такого, что камеры сумели бы назвать."
STORY_END_03,The Night Containment Service logs the shift as ordinary. Dawn finds the First Museum still standing.,Служба ночного сдерживания записывает смену как обычную. Рассвет застаёт Первый музей на месте.
STORY_PROLOGUE,The museum remembers every night shift. The rifts remember every mistake.,Музей помнит каждую ночную смену. Разломы помнят каждую ошибку.
STORY_PROLOGUE_01,THE FIRST MUSEUM. The collection is physical constants. There are no objects in the holdings.,ПЕРВЫЙ МУЗЕЙ. Экспозиция — постоянные величины. Предметов в фондах нет.
STORY_PROLOGUE_02,"Four wings, four quantities: gravity, time, space, mass.","Четыре крыла, четыре величины: тяготение, время, пространство, масса."
STORY_PROLOGUE_03,A visitor sees a stone on a plinth. The register lists not the stone but the weight it holds.,"Посетитель видит камень на подставке. В описи значится не камень, а вес, который он держит."
STORY_PROLOGUE_04,"Wing A. Gravity: 9.81. Here the value is held, not measured.","Крыло A. Тяготение: 9,81. Здесь это значение удерживают, а не измеряют."
STORY_PROLOGUE_05,Under the atrium dome: the containment core. It is what keeps all four quantities in agreement.,Под куполом атриума — ядро сдерживания. Оно и держит все четыре величины в согласии.
STORY_PROLOGUE_06,The core is the one exhibit that cannot be closed for the night. That is why the museum has a night shift.,"Ядро — единственный экспонат, который нельзя закрыть на ночь. Поэтому у музея есть ночная смена."
STORY_PROLOGUE_07,Night Containment Service. One observer per shift. Tonight the observer is you.,Служба ночного сдерживания. Один наблюдатель на смену. Сегодня наблюдатель — вы.
STORY_PROLOGUE_08,"When a quantity slips, a rift opens. The instructions record it as an accident. The floor plan marks it as a way through.","Когда величина срывается, открывается разлом. В инструкции он числится аварией. На плане — проходом."
STORY_PROLOGUE_09,For three weeks the round log has carried the same entry: there is someone in the halls. No shift wrote it.,В журнале обходов третью неделю одна и та же отметка: в залах кто-то есть. Смена её не ставила.
TEACH_HINT_LANTERN,Press E at the null lantern to take it.,"Нажмите E у нуль-фонаря, чтобы взять его."
TEACH_HINT_LOOK,Move the mouse to look around.,"Поводите мышью, чтобы осмотреться."
TEACH_HINT_OFFICE,West through the atrium and in through the office door.,На запад через атриум и внутрь через дверь офиса.
TEACH_HINT_PROTOCOL,"E closes the protocol screen; the alarm terminal repeats it, also on E.",E закрывает экран протокола; терминал тревоги повторит его — тоже на E.
TEACH_HINT_TABLET,Press TAB at the office desk to raise the camera tablet.,"Нажмите TAB за столом офиса, чтобы поднять планшет камер."
TEACH_OBJ_FLASHLIGHT,Check your flashlight while the lights are still on.,"Проверьте фонарик, пока свет ещё горит."
TEACH_OBJ_LANTERN,The equipment store is south of the office. Take the null lantern.,Склад оборудования — к югу от офиса. Возьмите нуль-фонарь.
TEACH_OBJ_LOOK,Look the forecourt over before you go inside.,"Осмотрите двор, прежде чем войти."
TEACH_OBJ_MOVE,Report for the night shift. The First Museum is at the end of the walkway.,Заступайте на ночную смену. Первый музей — в конце дорожки.
TEACH_OBJ_OFFICE,Take up your post: the security office is in the west wing.,Займите пост: офис охраны — в западном крыле.
TEACH_OBJ_PROTOCOL,The protocol screen names the device the breach needs. Read it.,"Экран протокола называет прибор, который нужен при прорыве. Прочтите его."
TEACH_OBJ_SPRINT,Tonight you will have to cover ground fast. Try a run.,Ночью придётся передвигаться быстро. Попробуйте бег.
TEACH_OBJ_TABLET,Back at the desk: the cameras show what you cannot see from here.,"Вернитесь к столу: камеры показывают то, чего отсюда не видно."
TERM_CORE_CRITICAL,CORE: CRITICAL,ЯДРО: КРИТИЧНО
TERM_CORE_NOMINAL,CORE: NOMINAL,ЯДРО: НОРМА
TERM_CORE_UNSTABLE,CORE: UNSTABLE,ЯДРО: НЕСТАБИЛЬНО
TERM_SIGNAL_LOST,SIGNAL LOST,СИГНАЛ ПОТЕРЯН
TOOL_CHRONO_STABILIZER_HINT,Evens out the flow of time in the incident zone,Выравнивает ход времени в зоне аварии
TOOL_CHRONO_STABILIZER_NAME,Chrono Stabilizer,Хроностабилизатор
TOOL_CONTAINMENT_ROD_HINT,Damps the exhibit's radiation bloom,Гасит радиационное цветение экспоната
TOOL_CONTAINMENT_ROD_NAME,Containment Rod,Стержень сдерживания
TOOL_FIELD_EMITTER_HINT,Restores the light circuit in the dark sector,Восстанавливает световой контур в тёмном секторе
TOOL_FIELD_EMITTER_NAME,Field Emitter,Полевой излучатель
TOOL_GRAVITY_ANCHOR_HINT,Locks local gravity at the rift,Фиксирует локальную гравитацию у разлома
TOOL_GRAVITY_ANCHOR_NAME,Gravity Anchor,Гравитационный якорь
TOOL_MASS_CLAMP_HINT,Holds fragile valuables steady while you carry them,Удерживает хрупкие ценности при переноске
TOOL_MASS_CLAMP_NAME,Mass Clamp,Зажим массы
TOOL_MEMORY_REEL_NAME,Memory Reel,Катушка памяти
TOOL_NULL_LANTERN_NAME,Null Lantern,Нуль-фонарь
TOOL_PHASE_PRISM_HINT,Stabilizes the bridge's phantom supports,Стабилизирует фантомные опоры моста
TOOL_PHASE_PRISM_NAME,Phase Prism,Фазовая призма
TOOL_RESONANCE_TUNER_HINT,Tunes the echo chamber's resonance,Настраивает резонанс эхо-камеры
TOOL_RESONANCE_TUNER_NAME,Resonance Tuner,Резонансный настройщик
TOOL_SPECTRAL_LENS_HINT,Reveals defective reflections in the mirror hall,Выявляет дефектные отражения в зале зеркал
TOOL_SPECTRAL_LENS_NAME,Spectral Lens,Спектральная линза
TOOL_THERMAL_CHALK_HINT,Marks the ledges you have cleared on the ascent,Помечает пройденные уступы при восхождении
TOOL_THERMAL_CHALK_NAME,Thermal Chalk,Термомел
TOOL_THREAD_SPOOL_HINT,Keeps you from getting lost in the yellow halls,Не даёт потеряться в жёлтых залах
TOOL_THREAD_SPOOL_NAME,Return Thread,Нить возврата
TRIAL_ASCENT_CHECKPOINT,Checkpoint activated (altitude %d m),Контрольная точка активирована (высота %d м)
TRIAL_ASCENT_FAILTIP,Keep a steady rhythm and hit every checkpoint.,Двигайтесь ритмично и активируйте каждую контрольную точку.
TRIAL_ASCENT_FOG,The fog swallowed you — returning to the checkpoint,Туман поглотил вас — возврат к контрольной точке
TRIAL_ASCENT_OBJECTIVE,"Climb the ledges! Green tiles are checkpoints, violet ones move.","Вверх по уступам! Зелёные плиты — контрольные точки, фиолетовые — движутся."
TRIAL_ASCENT_RESPAWN,Returning to the checkpoint,Возврат к контрольной точке
TRIAL_ASCENT_TITLE,THE ASCENT,ВОСХОЖДЕНИЕ
TRIAL_ASCENT_TUTORIAL,The fog keeps rising - don't linger.\nActivate the green checkpoints on the way up.,Туман поднимается — не задерживайтесь.\nАктивируйте зелёные контрольные точки по пути.
TRIAL_BRIDGE_FAILTIP,Remember which tiles were phantoms and avoid them.,"Запоминайте, какие плиты оказались фантомами, и обходите их."
TRIAL_BRIDGE_OBJECTIVE,Half the tiles are phantoms that reset you. Reach the key.,Половина плит — фантомы: они возвращают на старт. Доберитесь до ключа.
TRIAL_BRIDGE_TITLE,GLASS BRIDGE,ЗЫБКИЙ МОСТ
TRIAL_BRIDGE_TUTORIAL,"Real tiles hold your weight, phantoms don't.\nTest one at a time and memorize the safe path.","Настоящие плиты держат вес, фантомные — нет.\nПробуйте по одной и запоминайте безопасный путь."
TRIAL_ECHO_CORRECT,Correct: %d of %d,Верно: %d из %d
TRIAL_ECHO_FAILTIP,"Wait for the full playback, then repeat the sequence calmly.","Дождитесь конца показа, затем повторяйте последовательность спокойно."
TRIAL_ECHO_LOOK_TIMER,Look around: playback starts in %d s.,Осмотритесь: показ начнётся через %d сек.
TRIAL_ECHO_MISTAKE,MISTAKE at step %d — watch the sequence again,ОШИБКА на шаге %d — смотрите последовательность заново
TRIAL_ECHO_NOT_STARTED,Look around: the sequence playback hasn't started yet,Осмотритесь: показ последовательности ещё не начался
TRIAL_ECHO_OBJECTIVE,Look around and memorize each column's position.,"Осмотритесь: запомните, где какая колонна."
TRIAL_ECHO_ROUND_DONE,Round %d cleared!,Раунд %d пройден!
TRIAL_ECHO_ROUND_REPEAT,ROUND %d/3 — repeat the order (E at the columns),РАУНД %d/3 — повторите порядок (E у колонн)
TRIAL_ECHO_ROUND_WATCH,ROUND %d/3 — memorize the order of the flashes,РАУНД %d/3 — запоминайте порядок вспышек
TRIAL_ECHO_TITLE,ECHO CHAMBER,ЭХО-КАМЕРА
TRIAL_ECHO_TUTORIAL,Memorize the order the columns flash.\nRepeat it by pressing E at each column.,"Запомните порядок вспышек колонн.\nПовторите его, нажимая E у нужных колонн."
TRIAL_ECHO_WAIT,Wait for the playback to finish...,Дождитесь конца показа...
TRIAL_GRAVITY_ANCHOR_LOCKED,This anchor is not fixed in your coordinate frame yet.,Этот якорь ещё не закреплён в вашей системе координат.
TRIAL_GRAVITY_FAILTIP,Move to the next anchor only after gravity flips.,Идите к следующему якорю только после смены гравитации.
TRIAL_GRAVITY_OBJECTIVE,Rotate the archive: FLOOR -> WEST WALL -> FAR WALL. Look for the violet anchors.,Поверните архив: ПОЛ → ЗАПАДНАЯ СТЕНА → ДАЛЬНЯЯ СТЕНА. Ищите фиолетовые якоря.
TRIAL_GRAVITY_STEP1,Gravity has rotated west. Walk along what used to be the wall.,Гравитация повёрнута на запад. Идите по бывшей стене.
TRIAL_GRAVITY_STEP2,Gravity now points into the depth of the archive. Find the last anchor.,Гравитация направлена в глубину архива. Найдите последний якорь.
TRIAL_GRAVITY_TITLE,GRAVITY ARCHIVE,ГРАВИТАЦИОННЫЙ АРХИВ
TRIAL_GRAVITY_TUTORIAL,Each anchor changes the gravity direction.\nActivate them strictly in order (E).,Каждый якорь меняет направление гравитации.\nАктивируйте их строго по порядку (E).
TRIAL_MIRROR_ALL_FOUND,All defects found — the exit is open at the entry point,Все дефекты найдены — выход открыт у точки входа
TRIAL_MIRROR_FAILTIP,Watch for trembling silhouettes before you commit.,"Присмотритесь к дрожащим силуэтам, не спешите с выбором."
TRIAL_MIRROR_OBJECTIVE,Find 3 defective mirrors: their silhouettes tremble (E). 3 mistakes reshuffle the hall.,Найдите 3 дефектных зеркала: их силуэты дрожат (E). 3 ошибки — зал перестроится.
TRIAL_MIRROR_RESHUFFLE,"Three mistakes — the hall reshuffled, the defects moved!","Три ошибки — зал перестроился, дефекты сместились!"
TRIAL_MIRROR_STABLE,This reflection is stable (mistake %d/3). Look for the trembling silhouette,Это отражение стабильно (ошибка %d/3). Ищите дрожащий силуэт
TRIAL_MIRROR_TAGGED,Defective reflection tagged: %d/3,Дефектное отражение зафиксировано: %d/3
TRIAL_MIRROR_TITLE,MIRROR MAZE,ЗАЛ ОТРАЖЕНИЙ
TRIAL_MIRROR_TUTORIAL,Defective reflections tremble and flicker.\nTag only those - stable mirrors penalize you.,Дефектные отражения дрожат и мерцают.\nОтмечайте только их — стабильные зеркала штрафуют.
TRIAL_MOVE_CLOSER,Move closer to an active node.,Подойдите ближе к активному узлу.
TRIAL_PROP_ANCHOR_DEPTH,DEPTH ANCHOR,ЯКОРЬ ГЛУБИНЫ
TRIAL_PROP_ANCHOR_FLOOR,FLOOR ANCHOR,ЯКОРЬ ПОЛА
TRIAL_PROP_ANCHOR_WALL,WALL ANCHOR,ЯКОРЬ СТЕНЫ
TRIAL_PROP_BUST,GILDED BUST,ПОЗОЛОЧЕННЫЙ БЮСТ
TRIAL_PROP_CLOCK,ANTIQUE CLOCK,СТАРИННЫЕ ЧАСЫ
TRIAL_PROP_COLUMN_BLUE,BLUE COLUMN,СИНЯЯ КОЛОННА
TRIAL_PROP_COLUMN_GREEN,GREEN COLUMN,ЗЕЛЁНАЯ КОЛОННА
TRIAL_PROP_COLUMN_RED,RED COLUMN,КРАСНАЯ КОЛОННА
TRIAL_PROP_COLUMN_YELLOW,YELLOW COLUMN,ЖЁЛТАЯ КОЛОННА
TRIAL_PROP_EVAC_PAD,EVACUATION PAD,ТОЧКА ЭВАКУАЦИИ
TRIAL_PROP_EXIT,EXIT,ВЫХОД
TRIAL_PROP_EXIT_STRIPED,EXIT (STRIPED),ВЫХОД (РАЗМЕТКА)
TRIAL_PROP_EXTRACT_PAD,EXTRACTION PAD,ТОЧКА ИЗВЛЕЧЕНИЯ
TRIAL_PROP_HALL_EXIT,HALL EXIT,ВЫХОД ИЗ ЗАЛА
TRIAL_PROP_MIRROR,MIRROR %d,ЗЕРКАЛО %d
TRIAL_PROP_MONOLITH,MONOLITH %s\nFREQUENCY %d · %s,МОНОЛИТ %s\nЧАСТОТА %d · %s
TRIAL_PROP_MONOLITH_INIT,MONOLITH %s\nFREQUENCY 0 · TARGET %d,МОНОЛИТ %s\nЧАСТОТА 0 · ЦЕЛЬ %d
TRIAL_PROP_POWER_NODE,POWER NODE %d,ПИТАЮЩИЙ УЗЕЛ %d
TRIAL_PROP_SOCKET,SOCKET %s,ГНЕЗДО %s
TRIAL_PROP_SOCKET_SPARE,SPARE SOCKET,РЕЗЕРВНОЕ ГНЕЗДО
TRIAL_PROP_STAB_KEY,STABILIZATION KEY,КЛЮЧ СТАБИЛИЗАЦИИ
TRIAL_PROP_TAPE,TAPE %d,ПЛЁНКА %d
TRIAL_PROP_VASE,CRYSTAL VASE,ХРУСТАЛЬНАЯ ВАЗА
TRIAL_RADIATION_ACT_PICK,E — pick up/swap · G — tune frequency,E — поднять/поменять местами · G — настроить частоту
TRIAL_RADIATION_ACT_PLACE,E — place the monolith in the socket with the matching symbol,E — поставьте монолит в гнездо с таким же символом
TRIAL_RADIATION_FAILTIP,"Place symbols first, then tune frequencies to lower the dose.","Сначала расставьте символы, потом настраивайте частоты — доза падает."
TRIAL_RADIATION_HUD,%s\nSYMBOLS: %d/4 · RESONANCE: %d/4 · DOSE: %.0f%%,%s\nСИМВОЛЫ: %d/4 · РЕЗОНАНС: %d/4 · ДОЗА: %.0f%%
TRIAL_RADIATION_NEAR_MONOLITH,Step up to a monolith to tune its frequency.,"Подойдите к монолиту, чтобы настроить частоту."
TRIAL_RADIATION_NEED,NEED: %d,НУЖНО: %d
TRIAL_RADIATION_OBJECTIVE,STEP 1: match identical symbols. STEP 2: press G to tune frequency to RESONANCE.,ШАГ 1: совместите одинаковые символы. ШАГ 2: клавишей G настройте частоту до РЕЗОНАНСА.
TRIAL_RADIATION_RESET,Critical interference. The choir reverted to its initial configuration.,Критическая интерференция. Хор вернулся к исходной конфигурации.
TRIAL_RADIATION_RESONANCE,RESONANCE,РЕЗОНАНС
TRIAL_RADIATION_TITLE,CRITICAL MASS CHOIR,КРИТИЧЕСКАЯ МАССА
TRIAL_RADIATION_TUTORIAL,E - carry a monolith to a socket with the same symbol.\nG - tune its frequency. Dose rises while wrong.,E — поднять и поставить монолит в гнездо с тем же символом.\nG — настроить частоту монолита. Доза растёт при ошибках.
TRIAL_SCRAP_ALL_DONE,All valuables extracted: %d cr.,Все ценности извлечены: %d у.е.
TRIAL_SCRAP_BRING,Bring a valuable exhibit (%d/3),Принесите ценный экспонат (%d/3)
TRIAL_SCRAP_DRONE_CAUGHT,THE DRONE LOGGED THE REMOVAL! The exhibit is back on the shelf,ДРОН ЗАФИКСИРОВАЛ ВЫНОС! Экспонат вернулся на стеллаж
TRIAL_SCRAP_DROPPED,The fragile exhibit slipped and returned to its place!,Хрупкий экспонат сорвался и вернулся на место!
TRIAL_SCRAP_FAILTIP,"Wait for the drone beam to turn away, then dash in short bursts.","Ждите, пока луч дрона отвернётся, и перебегайте короткими рывками."
TRIAL_SCRAP_HANDS_FULL,Hands full — deliver the exhibit first,Руки заняты — сначала сдайте экспонат
TRIAL_SCRAP_HUD_CARRY,Carrying: %s · Delivered %d/3 (%d cr.) · Avoid the drone beam!,В руках: %s · Сдано %d/3 (%d у.е.) · Избегайте луча дрона!
TRIAL_SCRAP_OBJECTIVE,Carry 3 valuables to the extraction pad one at a time. A scanner drone patrols!,Перенесите 3 ценности к точке извлечения по одной. Дрон-сканер патрулирует склад!
TRIAL_SCRAP_PICKED,"Picked up: %s (%d cr.). Carry it to the extraction pad, avoiding the drone","Взято: %s (%d у.е.). Несите к точке извлечения, избегая дрона"
TRIAL_SCRAP_PROGRESS,Extracted: %d/3 · Score: %d cr.,Извлечено: %d/3 · Счёт: %d у.е.
TRIAL_SCRAP_TITLE,SCRAP RUN,СЛУЖБА ИЗВЛЕЧЕНИЯ
TRIAL_SCRAP_TUTORIAL,"Carry valuables one by one (E), deliver on the green pad.\nThe drone beam returns your load to the shelf.","Носите ценности по одной (E), сдавайте на зелёной точке.\nЛуч дрона возвращает ношу на стеллаж."
TRIAL_TIME_FAILTIP,Plan a route so earlier echoes stay on their plates.,"Планируйте маршрут так, чтобы прошлые эхо остались на плитах."
TRIAL_TIME_HUD,LOOP: %.1f s  ECHOES: %d/2  PLATES: %s,ЦИКЛ: %.1f сек.  ЭХО: %d/2  ПЛИТЫ: %s
TRIAL_TIME_OBJECTIVE,Record yourself on the plates. After 18 seconds your echo repeats the route. You need three of you at once.,Запишите себя на плитах. После 18 секунд ваше эхо повторит маршрут. Нужны три версии одновременно.
TRIAL_TIME_TITLE,THE MISSING MINUTE,ПРОПАВШАЯ МИНУТА
TRIAL_TIME_TUTORIAL,Three echoes must press the plates at once.\nRecord a different route each loop.,Плиты нужно нажать одновременно тремя эхо.\nЗапишите разные маршруты за каждый цикл.
TRIAL_VOID_FAILTIP,Scan more often and skirt the red dots along the edges.,Сканируйте чаще и обходите красные точки по краю сектора.
TRIAL_VOID_HUD,LMB — scan · NODES: %d/3 · red dots mean danger,ЛКМ — скан · УЗЛЫ: %d/3 · красные точки — опасность
TRIAL_VOID_OBJECTIVE,LMB - lidar pulse. Activate 3 nodes and find the exit.,ЛКМ — импульс лидара · активируйте 3 узла и найдите выход.
TRIAL_VOID_TITLE,NEGATIVE SPACE,ТЁМНЫЙ СЕКТОР
TRIAL_VOID_TUTORIAL,"The sector is pitch black - fire the lidar (LMB) to see.\nRed dots are the Curator, stay away from it.","Сектор чёрный — стреляйте лидаром (ЛКМ), чтобы видеть.\nКрасные точки — Куратор, держитесь от него."
TRIAL_YELLOW_CAUGHT,The Wanderer threw you back to the entrance. Keep your distance!,Блуждающий выбросил вас ко входу. Держите дистанцию!
TRIAL_YELLOW_EXIT_LOCKED,The stripes are inactive: collect the tapes (%d/3),Разметка не активна: соберите плёнки (%d/3)
TRIAL_YELLOW_FAILTIP,Don't rush the Wanderer - lure it away and loop around.,Не идите на Блуждающего в лоб — уводите его и петляйте.
TRIAL_YELLOW_OBJECTIVE,"Collect 3 tapes, avoid the Wanderer and find the striped exit.","Соберите 3 плёнки, избегайте Блуждающего и найдите выход с разметкой."
TRIAL_YELLOW_TAPE_FOUND,Tape found: %d/3,Найдена плёнка: %d/3
TRIAL_YELLOW_TAPE_LOST,The Wanderer took a tape! Collected: %d/3,Блуждающий отобрал плёнку! Собрано: %d/3
TRIAL_YELLOW_TITLE,YELLOW HALLS,ЖЁЛТЫЕ ЗАЛЫ
TRIAL_YELLOW_TUTORIAL,The Wanderer steals a tape if it catches you.\nKeep your distance and listen for its steps.,"Блуждающий отнимает плёнку, если поймает.\nДержите дистанцию и слушайте его шаги."
TUTORIAL_COMPLETE,ORIENTATION COMPLETE,ОРИЕНТАЦИЯ ЗАВЕРШЕНА
TUTORIAL_SKIP,Hold ESC — skip tutorial,Удерживайте ESC — пропустить обучение
TUTORIAL_TITLE,ORIENTATION SECTOR,СЕКТОР ОРИЕНТАЦИИ
TUT_HINT_EXIT,The door is open. Approach and press E.,Дверь открыта. Подойдите и нажмите E.
TUT_HINT_FLASHLIGHT,Press F to toggle the flashlight.,"Нажмите F, чтобы включить/выключить фонарик."
TUT_HINT_INTERACT,Approach the console and press E.,Подойдите к консоли и нажмите E.
TUT_HINT_JUMP,Press Space to jump.,"Нажмите Пробел, чтобы прыгнуть."
TUT_HINT_LOOK,Move the mouse and look around the sector.,"Поводите мышью, осмотрите сектор."
TUT_HINT_MOVE,Walk forward using W A S D.,Пройдите вперёд на клавишах W A S D.
TUT_HINT_SPRINT,Hold Shift and run.,Зажмите Shift и бегите.
TUT_STEP_EXIT,Exit to the shift (E) at the door,Выйти на смену (E) у двери
TUT_STEP_FLASHLIGHT,Flashlight (F),Фонарик (F)
TUT_STEP_INTERACT,Interact (E) at the console,Взаимодействие (E) у консоли
TUT_STEP_JUMP,Jump (Space),Прыжок (Пробел)
TUT_STEP_LOOK,Look around (mouse),Осмотреться (мышь)
TUT_STEP_MOVE,Move (W A S D),Движение (W A S D)
TUT_STEP_SPRINT,Sprint (Shift),Спринт (Shift)
TUT_TARGET_CONSOLE,ORIENTATION CONSOLE,КОНСОЛЬ ОРИЕНТАЦИИ
TUT_TARGET_EXIT,EXIT TO SHIFT,ВЫХОД НА СМЕНУ
HUD_BELT_EMPTY,EMPTY,ПУСТО
HUD_BELT_FULL,Belt full — G drops the device in hand,Пояс полон — G сбрасывает прибор из рук
